threshold,min_area,true_positive,false_positive,false_negative,precision,recall,f1
0.79,2,54327,1247,33657,0.9775614495987333,0.6174645390070922,0.7568648211872554
0.79,3,51114,716,36870,0.9861856067914335,0.5809465357337698,0.7311714134492969
0.8,1,57022,3405,30962,0.9436510169295182,0.6480951082014912,0.7684336066733598
0.8,2,54253,1225,33731,0.9779191751685353,0.6166234769958174,0.7563396578885001
0.8,3,50999,703,36985,0.9864028470852192,0.5796394799054374,0.7301948656271924
0.81,1,56977,3360,31007,0.9443127765715895,0.6475836515730132,0.7682930940325375
0.81,2,54202,1209,33782,0.9781812275540958,0.6160438261502091,0.7559817287911016
0.81,3,50931,689,37053,0.9866524602867106,0.578866612111293,0.7296495802412538
0.82,1,56899,3267,31085,0.9457002293654223,0.6466971267503182,0.7681268984137698
0.82,2,54108,1189,33876,0.9784979293632566,0.6149754500818331,0.7552711106148059
0.82,3,50816,679,37168,0.9868142538110496,0.5775595562829605,0.7286544927910295
0.83,1,56850,3208,31134,0.9465849678643977,0.6461402073104201,0.7680252901203711
0.83,2,54036,1167,33948,0.9788598445736645,0.6141571194762684,0.7547612562592972
0.83,3,50735,663,37249,0.9871006653955406,0.5766389343517003,0.7279993112453546
0.84,1,56762,3125,31222,0.9478183913036218,0.6451400254591744,0.7677232182104673
0.84,2,53956,1128,34028,0.9795221843003413,0.6132478632478633,0.7542706964520367
0.84,3,50594,649,37390,0.9873348554924575,0.5750363702491362,0.7267843162604954
0.85,1,56711,3057,31273,0.9488522286173203,0.6445603746135661,0.7676511993069467
0.85,2,53880,1100,34104,0.9799927246271372,0.6123840698308783,0.7537561903696034
0.85,3,50516,632,37468,0.9876437006334559,0.5741498454264412,0.7261593307075296
0.86,1,56608,2959,31376,0.950324844292981,0.6433897072194944,0.7673007976902901
0.86,2,53763,1069,34221,0.9805040852057193,0.6110542825968358,0.752898834864441
0.86,3,50369,610,37615,0.9880342886286511,0.5724790871067467,0.7249267790706879
